InvoiceLineId,InvoiceId,TrackId,UnitPrice,Quantity,created_at,updated_at
1,1,2,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
2,1,4,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
3,2,6,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
4,2,8,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
5,2,10,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
6,2,12,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
7,3,16,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
8,3,20,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
9,3,24,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
10,3,28,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
11,3,32,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
12,3,36,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
13,4,42,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
14,4,48,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
15,4,54,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
16,4,60,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
17,4,66,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
18,4,72,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
19,4,78,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
20,4,84,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
21,4,90,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
22,5,99,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
23,5,108,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
24,5,117,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
25,5,126,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
26,5,135,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
27,5,144,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
28,5,153,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
29,5,162,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
30,5,171,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
31,5,180,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
32,5,189,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
33,5,198,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
34,5,207,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
35,5,216,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
36,6,230,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
37,7,231,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
38,7,232,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
39,8,234,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
40,8,236,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
41,9,238,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
42,9,240,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
43,9,242,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
44,9,244,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
45,10,248,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
46,10,252,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
47,10,256,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
48,10,260,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
49,10,264,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
50,10,268,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
51,11,274,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
52,11,280,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
53,11,286,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
54,11,292,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
55,11,298,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
56,11,304,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
57,11,310,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
58,11,316,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
59,11,322,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
60,12,331,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
61,12,340,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
62,12,349,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
63,12,358,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
64,12,367,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
65,12,376,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
66,12,385,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
67,12,394,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
68,12,403,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
69,12,412,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
70,12,421,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
71,12,430,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
72,12,439,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
73,12,448,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
74,13,462,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
75,14,463,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
76,14,464,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
77,15,466,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
78,15,468,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
79,16,470,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
80,16,472,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
81,16,474,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
82,16,476,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
83,17,480,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
84,17,484,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
85,17,488,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
86,17,492,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
87,17,496,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
88,17,500,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
89,18,506,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
90,18,512,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
91,18,518,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
92,18,524,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
93,18,530,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
94,18,536,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
95,18,542,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
96,18,548,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
97,18,554,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
98,19,563,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
99,19,572,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
100,19,581,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
101,19,590,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
102,19,599,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
103,19,608,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
104,19,617,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
105,19,626,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
106,19,635,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
107,19,644,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
108,19,653,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
109,19,662,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
110,19,671,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
111,19,680,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
112,20,694,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
113,21,695,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
114,21,696,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
115,22,698,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
116,22,700,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
117,23,702,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
118,23,704,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
119,23,706,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
120,23,708,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
121,24,712,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
122,24,716,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
123,24,720,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
124,24,724,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
125,24,728,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
126,24,732,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
127,25,738,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
128,25,744,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
129,25,750,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
130,25,756,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
131,25,762,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
132,25,768,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
133,25,774,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
134,25,780,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
135,25,786,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
136,26,795,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
137,26,804,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
138,26,813,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
139,26,822,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
140,26,831,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
141,26,840,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
142,26,849,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
143,26,858,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
144,26,867,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
145,26,876,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
146,26,885,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
147,26,894,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
148,26,903,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
149,26,912,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
150,27,926,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
151,28,927,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
152,28,928,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
153,29,930,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
154,29,932,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
155,30,934,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
156,30,936,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
157,30,938,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
158,30,940,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
159,31,944,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
160,31,948,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
161,31,952,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
162,31,956,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
163,31,960,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
164,31,964,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
165,32,970,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
166,32,976,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
167,32,982,0.99,1,2024-09-11 11:16:28,2024-09-11 11:16:28
